date,sqft_backlog_rolling_year
2011-01-02,16470.74891774892
2011-01-03,16714.004310344826
2011-01-04,16777.646551724138
2011-01-05,16702.254310344826
2011-01-06,16671.060344827587
2011-01-07,18020.918103448275
2011-01-08,18068.33766233766
2011-01-09,18068.33766233766
2011-01-10,18035.15948275862
2011-01-11,18060.05172413793
2011-01-12,18040.724137931036
2011-01-13,17979.51931330472
2011-01-14,18016.783261802575
2011-01-15,18070.622844827587
2011-01-16,18070.622844827587
2011-01-17,18070.622844827587
2011-01-18,18072.645922746782
2011-01-19,18076.976394849786
2011-01-20,18103.087982832618
2011-01-21,18156.491416309014
2011-01-22,17854.661637931036
2011-01-23,17854.661637931036
2011-01-24,17811.654506437768
2011-01-25,17797.7660944206
2011-01-26,17839.495708154507
2011-01-27,17829.830472103004
2011-01-28,17787.28111587983
2011-01-29,17839.6875
2011-01-30,17839.6875
2011-01-31,17777.77467811159
2011-02-01,17881.242489270386
2011-02-02,17874.130901287554
2011-02-03,17821.82618025751
2011-02-04,17806.761802575107
2011-02-05,17816.321120689656
2011-02-06,17816.321120689656
2011-02-07,17740.88626609442
2011-02-08,17780.62017167382
2011-02-09,17799.790948275862
2011-02-10,17842.213362068964
2011-02-11,17901.14870689655
2011-02-12,17952.170995670996
2011-02-13,17952.170995670996
2011-02-14,17952.170995670996
2011-02-15,17940.64870689655
2011-02-16,18279.22629310345
2011-02-17,18357.480603448275
2011-02-18,18357.144396551725
2011-02-19,18376.28787878788
2011-02-20,18376.28787878788
2011-02-21,18376.28787878788
2011-02-22,18371.334051724138
2011-02-23,18350.02801724138
2011-02-24,18377.002155172413
2011-02-25,18366.98922413793
2011-02-26,18384.11038961039
2011-02-27,18384.11038961039
2011-02-28,18332.32974137931
2011-03-01,18338.10129310345
2011-03-02,18374.97198275862
2011-03-03,17923.22198275862
2011-03-04,17930.196120689656
2011-03-05,17997.45238095238
2011-03-06,17997.45238095238
2011-03-07,17920.359913793105
2011-03-08,17879.212446351932
2011-03-09,17875.20815450644
2011-03-10,17891.178111587982
2011-03-11,17942.11802575107
2011-03-12,17869.575431034482
2011-03-13,17869.575431034482
2011-03-14,17793.954935622318
2011-03-15,17729.510683760684
2011-03-16,17710.3952991453
2011-03-17,17682.80128205128
2011-03-18,17724.476495726496
2011-03-19,17796.675965665236
2011-03-20,17796.675965665236
2011-03-21,17806.647435897437
2011-03-22,17857.655982905984
2011-03-23,17844.891025641027
2011-03-24,17892.720085470086
2011-03-25,17878.05769230769
2011-03-26,17931.079399141632
2011-03-27,17931.079399141632
2011-03-28,17877.99358974359
2011-03-29,17861.63888888889
2011-03-30,17827.720085470086
2011-03-31,17564.258547008547
2011-04-01,17614.587606837606
2011-04-02,17662.598712446354
2011-04-03,17662.598712446354
2011-04-04,17604.844017094016
2011-04-05,17622.241452991453
2011-04-06,17633.916666666668
2011-04-07,17680.356837606836
2011-04-08,17630.65170940171
2011-04-09,17689.461373390557
2011-04-10,17689.461373390557
2011-04-11,17689.461373390557
2011-04-12,17932.3669527897
2011-04-13,17927.53433476395
2011-04-14,17952.87339055794
2011-04-15,17949.229613733907
2011-04-16,17999.691810344826
2011-04-17,17999.691810344826
2011-04-18,17925.75321888412
2011-04-19,17882.228632478633
2011-04-20,17888.62606837607
2011-04-21,17903.856837606836
2011-04-22,17865.19017094017
2011-04-23,17925.834763948496
2011-04-24,17925.834763948496
2011-04-25,17852.647435897437
2011-04-26,17920.40811965812
2011-04-27,17959.202991452992
2011-04-28,17957.220085470086
2011-04-29,18101.83547008547
2011-04-30,18168.25965665236
2011-05-01,18168.25965665236
2011-05-02,18202.510683760684
2011-05-03,18131.41063829787
2011-05-04,18152.806382978724
2011-05-05,18117.29574468085
2011-05-06,18061.3
2011-05-07,18073.339743589742
2011-05-08,18073.339743589742
2011-05-09,18073.339743589742
2011-05-10,18033.7
2011-05-11,18028.763829787233
2011-05-12,17980.21063829787
2011-05-13,17950.06170212766
2011-05-14,18016.37393162393
2011-05-15,18016.37393162393
2011-05-16,18016.37393162393
2011-05-17,18058.459401709402
2011-05-18,18103.613247863246
2011-05-19,18771.134615384617
2011-05-20,18707.485042735043
2011-05-21,18777.12660944206
2011-05-22,18777.12660944206
2011-05-23,18697.3952991453
2011-05-24,18698.831196581195
2011-05-25,18667.818376068375
2011-05-26,18655.38247863248
2011-05-27,18643.94230769231
2011-05-28,18644.834763948496
2011-05-29,18644.834763948496
2011-05-30,18644.834763948496
2011-05-31,18582.11752136752
2011-06-01,18822.05769230769
2011-06-02,18862.826923076922
2011-06-03,18853.399572649574
2011-06-04,18871.62017167382
2011-06-05,18795.92948717949
2011-06-06,18748.185106382978
2011-06-07,18709.79872881356
2011-06-08,18717.34533898305
2011-06-09,19445.311440677968
2011-06-10,18659.26059322034
2011-06-11,18731.002127659576
2011-06-12,18731.002127659576
2011-06-13,18731.002127659576
2011-06-14,19356.46595744681
2011-06-15,19337.38085106383
2011-06-16,19296.185106382978
2011-06-17,19284.925531914894
2011-06-18,19245.916666666668
2011-06-19,19245.916666666668
2011-06-20,19249.423404255318
2011-06-21,19414.73940677966
2011-06-22,19414.112288135595
2011-06-23,19426.300847457627
2011-06-24,19404.156779661018
2011-06-25,19469.31914893617
2011-06-26,19469.31914893617
2011-06-27,19423.65254237288
2011-06-28,19580.54661016949
2011-06-29,19480.805084745763
2011-06-30,18037.661016949154
2011-07-01,18106.32627118644
2011-07-02,18180.817021276594
2011-07-03,18180.817021276594
2011-07-04,18180.817021276594
2011-07-05,18110.47033898305
2011-07-06,18115.834745762713
2011-07-07,18046.90254237288
2011-07-08,18221.98305084746
2011-07-09,18261.73191489362
2011-07-10,18261.73191489362
2011-07-11,18271.936440677968
2011-07-12,18283.555084745763
2011-07-13,18346.931914893616
2011-07-14,18309.987234042554
2011-07-15,18292.548936170213
2011-07-16,18365.277777777777
2011-07-17,18365.277777777777
2011-07-18,18424.12340425532
2011-07-19,18506.212765957447
2011-07-20,18534.08510638298
2011-07-21,18571.55744680851
2011-07-22,18589.63829787234
2011-07-23,18644.136752136754
2011-07-24,18644.136752136754
2011-07-25,18594.47659574468
2011-07-26,18642.812765957446
2011-07-27,18798.64255319149
2011-07-28,18837.417021276597
2011-07-29,18948.297872340427
2011-07-30,18930.68376068376
2011-07-31,18930.68376068376
2011-08-01,18851.536170212767
2011-08-02,18923.336170212766
2011-08-03,19140.293617021278
2011-08-04,18972.574468085106
2011-08-05,19015.868085106384
2011-08-06,19052.32051282051
2011-08-07,19052.32051282051
2011-08-08,19017.948936170214
2011-08-09,18948.228813559323
2011-08-10,19021.72033898305
2011-08-11,18962.525423728814
2011-08-12,18971.283898305086
2011-08-13,18677.7914893617
2011-08-14,18677.7914893617
2011-08-15,18677.7914893617
2011-08-16,18634.118644067796
2011-08-17,18555.889830508473
2011-08-18,18561.194915254237
2011-08-19,18580.3093220339
2011-08-20,18589.51914893617
2011-08-21,18589.51914893617
2011-08-22,18589.51914893617
2011-08-23,19357.85593220339
2011-08-24,19351.76694915254
2011-08-25,19377.991525423728
2011-08-26,19358.762711864405
2011-08-27,19374.165957446807
2011-08-28,19374.165957446807
2011-08-29,19374.165957446807
2011-08-30,19411.17021276596
2011-08-31,19395.834042553193
2011-09-01,19380.8
2011-09-02,19416.459574468085
2011-09-03,19467.44871794872
2011-09-04,19467.44871794872
2011-09-05,19467.44871794872
2011-09-06,19430.421276595745
2011-09-07,19023.67659574468
2011-09-08,19026.782978723404
2011-09-09,19219.863829787235
2011-09-10,19294.32051282051
2011-09-11,19294.32051282051
2011-09-12,19253.131914893616
2011-09-13,19217.451063829787
2011-09-14,19096.391489361704
2011-09-15,19189.88085106383
2011-09-16,19252.685106382978
2011-09-17,19281.264957264957
2011-09-18,19281.264957264957
2011-09-19,19281.264957264957
2011-09-20,19248.162393162394
2011-09-21,19211.28205128205
2011-09-22,19547.004273504273
2011-09-23,19585.521367521367
2011-09-24,19656.828326180257
2011-09-25,19656.828326180257
2011-09-26,19597.5641025641
2011-09-27,19536.489361702126
2011-09-28,19599.340425531915
2011-09-29,19236.565957446808
2011-09-30,19227.47234042553
2011-10-01,19245.965811965812
2011-10-02,19245.965811965812
2011-10-03,19245.965811965812
2011-10-04,19087.418803418805
2011-10-05,19132.62393162393
2011-10-06,19112.811965811965
2011-10-07,19015.709401709402
2011-10-08,19055.304721030043
2011-10-09,19055.304721030043
2011-10-10,19055.304721030043
2011-10-11,19464.094017094016
2011-10-12,19562.87606837607
2011-10-13,19534.970085470086
2011-10-14,19514.13247863248
2011-10-15,19551.875536480686
2011-10-16,19551.875536480686
2011-10-17,19472.02564102564
2011-10-18,19562.75641025641
2011-10-19,19615.863247863246
2011-10-20,19668.811965811965
2011-10-21,19764.918803418805
2011-10-22,19812.077253218886
2011-10-23,19812.077253218886
2011-10-24,19752.555555555555
2011-10-25,19671.302127659575
2011-10-26,19665.582978723403
2011-10-27,19659.872340425532
2011-10-28,19660.417021276597
2011-10-29,19654.82051282051
2011-10-30,19654.82051282051
2011-10-31,19590.96595744681
2011-11-01,19624.71914893617
2011-11-02,19623.634042553193
2011-11-03,19628.212765957447
2011-11-04,19657.02978723404
2011-11-05,18613.337606837606
2011-11-06,18613.337606837606
2011-11-07,18544.23829787234
2011-11-08,18481.88559322034
2011-11-09,18666.35593220339
2011-11-10,18818.161016949154
2011-11-11,18818.161016949154
2011-11-12,18849.604255319147
2011-11-13,18849.604255319147
2011-11-14,18849.604255319147
2011-11-15,18784.584745762713
2011-11-16,18831.29661016949
2011-11-17,18828.374468085105
2011-11-18,18864.24255319149
2011-11-19,18935.29487179487
2011-11-20,18935.29487179487
2011-11-21,18935.29487179487
2011-11-22,18972.064377682404
2011-11-23,19622.716738197425
2011-11-24,19694.560344827587
2011-11-25,19694.560344827587
2011-11-26,19694.560344827587
2011-11-27,19694.560344827587
2011-11-28,19633.463519313304
2011-11-29,19635.961373390557
2011-11-30,19669.24034334764
