,date,type,value
0,2010-01-04,Commercial,
1,2010-01-05,Commercial,
2,2010-01-06,Commercial,
3,2010-01-07,Commercial,
4,2010-01-08,Commercial,
5,2010-01-11,Commercial,
6,2010-01-12,Commercial,
7,2010-01-13,Commercial,
8,2010-01-14,Commercial,
9,2010-01-15,Commercial,
10,2010-01-19,Commercial,
11,2010-01-20,Commercial,
12,2010-01-21,Commercial,
13,2010-01-22,Commercial,
14,2010-01-25,Commercial,
15,2010-01-26,Commercial,
16,2010-01-27,Commercial,
17,2010-01-28,Commercial,
18,2010-01-29,Commercial,
19,2010-02-01,Commercial,
20,2010-02-02,Commercial,
21,2010-02-03,Commercial,
22,2010-02-04,Commercial,
23,2010-02-05,Commercial,
24,2010-02-08,Commercial,
25,2010-02-09,Commercial,
26,2010-02-10,Commercial,
27,2010-02-11,Commercial,
28,2010-02-12,Commercial,
29,2010-02-16,Commercial,
30,2010-02-17,Commercial,
31,2010-02-18,Commercial,
32,2010-02-19,Commercial,
33,2010-02-22,Commercial,
34,2010-02-23,Commercial,
35,2010-02-24,Commercial,
36,2010-02-25,Commercial,
37,2010-02-26,Commercial,
38,2010-03-01,Commercial,
39,2010-03-02,Commercial,
40,2010-03-03,Commercial,
41,2010-03-04,Commercial,
42,2010-03-05,Commercial,
43,2010-03-08,Commercial,
44,2010-03-09,Commercial,
45,2010-03-10,Commercial,
46,2010-03-11,Commercial,
47,2010-03-12,Commercial,
48,2010-03-16,Commercial,
49,2010-03-17,Commercial,
50,2010-03-18,Commercial,
51,2010-03-19,Commercial,
52,2010-03-22,Commercial,
53,2010-03-23,Commercial,
54,2010-03-24,Commercial,
55,2010-03-25,Commercial,
56,2010-03-26,Commercial,
57,2010-03-30,Commercial,
58,2010-03-31,Commercial,
59,2010-04-01,Commercial,
60,2010-04-02,Commercial,
61,2010-04-05,Commercial,
62,2010-04-06,Commercial,
63,2010-04-07,Commercial,
64,2010-04-08,Commercial,
65,2010-04-09,Commercial,
66,2010-04-12,Commercial,
67,2010-04-13,Commercial,
68,2010-04-14,Commercial,
69,2010-04-15,Commercial,
70,2010-04-16,Commercial,
71,2010-04-19,Commercial,
72,2010-04-20,Commercial,
73,2010-04-21,Commercial,
74,2010-04-22,Commercial,
75,2010-04-23,Commercial,
76,2010-04-26,Commercial,
77,2010-04-27,Commercial,
78,2010-04-28,Commercial,
79,2010-04-29,Commercial,
80,2010-04-30,Commercial,
81,2010-05-03,Commercial,
82,2010-05-04,Commercial,
83,2010-05-05,Commercial,
84,2010-05-06,Commercial,
85,2010-05-07,Commercial,
86,2010-05-11,Commercial,
87,2010-05-12,Commercial,
88,2010-05-13,Commercial,
89,2010-05-14,Commercial,
90,2010-05-17,Commercial,
91,2010-05-18,Commercial,
92,2010-05-19,Commercial,
93,2010-05-20,Commercial,
94,2010-05-21,Commercial,
95,2010-05-24,Commercial,
96,2010-05-25,Commercial,
97,2010-05-26,Commercial,
98,2010-05-27,Commercial,
99,2010-05-28,Commercial,
100,2010-06-01,Commercial,
101,2010-06-02,Commercial,
102,2010-06-03,Commercial,
103,2010-06-04,Commercial,
104,2010-06-07,Commercial,
105,2010-06-08,Commercial,
106,2010-06-09,Commercial,
107,2010-06-10,Commercial,
108,2010-06-11,Commercial,
109,2010-06-14,Commercial,
110,2010-06-15,Commercial,
111,2010-06-16,Commercial,
112,2010-06-17,Commercial,
113,2010-06-18,Commercial,
