,date,type,value
365,2011-07-06,Accessory Dwelling Unit,119.40821917808219
366,2011-07-07,Accessory Dwelling Unit,119.40821917808219
367,2011-07-08,Accessory Dwelling Unit,120.55616438356165
368,2011-07-11,Accessory Dwelling Unit,120.55616438356165
369,2011-07-12,Accessory Dwelling Unit,120.55616438356165
370,2011-07-13,Accessory Dwelling Unit,120.55616438356165
371,2011-07-14,Accessory Dwelling Unit,120.55616438356165
372,2011-07-15,Accessory Dwelling Unit,120.55616438356165
373,2011-07-18,Accessory Dwelling Unit,120.55616438356165
374,2011-07-19,Accessory Dwelling Unit,120.55616438356165
375,2011-07-20,Accessory Dwelling Unit,122.30958904109589
376,2011-07-21,Accessory Dwelling Unit,122.30958904109589
377,2011-07-22,Accessory Dwelling Unit,122.30958904109589
378,2011-07-25,Accessory Dwelling Unit,122.30958904109589
379,2011-07-26,Accessory Dwelling Unit,123.21917808219177
380,2011-07-27,Accessory Dwelling Unit,123.21917808219177
381,2011-07-28,Accessory Dwelling Unit,123.21917808219177
382,2011-07-29,Accessory Dwelling Unit,123.21917808219177
383,2011-08-01,Accessory Dwelling Unit,123.21917808219177
384,2011-08-02,Accessory Dwelling Unit,125.93698630136986
385,2011-08-03,Accessory Dwelling Unit,125.93698630136986
386,2011-08-04,Accessory Dwelling Unit,124.43013698630136
387,2011-08-05,Accessory Dwelling Unit,124.43013698630136
388,2011-08-08,Accessory Dwelling Unit,124.43013698630136
389,2011-08-09,Accessory Dwelling Unit,124.43013698630136
390,2011-08-10,Accessory Dwelling Unit,124.43013698630136
391,2011-08-11,Accessory Dwelling Unit,124.43013698630136
392,2011-08-12,Accessory Dwelling Unit,124.43013698630136
393,2011-08-15,Accessory Dwelling Unit,125.36712328767123
394,2011-08-16,Accessory Dwelling Unit,125.36712328767123
395,2011-08-17,Accessory Dwelling Unit,125.36712328767123
396,2011-08-18,Accessory Dwelling Unit,124.47671232876712
397,2011-08-19,Accessory Dwelling Unit,124.47671232876712
398,2011-08-22,Accessory Dwelling Unit,124.47671232876712
399,2011-08-23,Accessory Dwelling Unit,124.47671232876712
