,date,type,value
0,2010-01-04,Addition,
1,2010-01-05,Addition,
2,2010-01-06,Addition,
3,2010-01-07,Addition,
4,2010-01-08,Addition,
5,2010-01-11,Addition,
6,2010-01-12,Addition,
7,2010-01-13,Addition,
8,2010-01-14,Addition,
9,2010-01-15,Addition,
10,2010-01-19,Addition,
11,2010-01-20,Addition,
12,2010-01-21,Addition,
13,2010-01-22,Addition,
14,2010-01-25,Addition,
15,2010-01-26,Addition,
16,2010-01-27,Addition,
17,2010-01-28,Addition,
18,2010-01-29,Addition,
19,2010-02-01,Addition,
20,2010-02-02,Addition,
21,2010-02-03,Addition,
22,2010-02-04,Addition,
23,2010-02-05,Addition,
24,2010-02-08,Addition,
25,2010-02-09,Addition,
26,2010-02-10,Addition,
27,2010-02-11,Addition,
28,2010-02-12,Addition,
29,2010-02-16,Addition,
30,2010-02-17,Addition,
31,2010-02-18,Addition,
32,2010-02-19,Addition,
33,2010-02-22,Addition,
34,2010-02-23,Addition,
35,2010-02-24,Addition,
36,2010-02-25,Addition,
37,2010-02-26,Addition,
38,2010-03-01,Addition,
39,2010-03-02,Addition,
40,2010-03-03,Addition,
41,2010-03-04,Addition,
42,2010-03-05,Addition,
43,2010-03-08,Addition,
44,2010-03-09,Addition,
45,2010-03-10,Addition,
46,2010-03-11,Addition,
47,2010-03-12,Addition,
48,2010-03-16,Addition,
49,2010-03-17,Addition,
50,2010-03-18,Addition,
51,2010-03-19,Addition,
52,2010-03-22,Addition,
53,2010-03-23,Addition,
54,2010-03-24,Addition,
55,2010-03-25,Addition,
56,2010-03-26,Addition,
57,2010-03-30,Addition,
58,2010-03-31,Addition,
59,2010-04-01,Addition,
60,2010-04-02,Addition,
61,2010-04-05,Addition,
62,2010-04-06,Addition,
63,2010-04-07,Addition,
64,2010-04-08,Addition,
65,2010-04-09,Addition,
66,2010-04-12,Addition,
67,2010-04-13,Addition,
68,2010-04-14,Addition,
69,2010-04-15,Addition,
70,2010-04-16,Addition,
71,2010-04-19,Addition,
72,2010-04-20,Addition,
73,2010-04-21,Addition,
74,2010-04-22,Addition,
75,2010-04-23,Addition,
76,2010-04-26,Addition,
77,2010-04-27,Addition,
78,2010-04-28,Addition,
79,2010-04-29,Addition,
80,2010-04-30,Addition,
81,2010-05-03,Addition,
82,2010-05-04,Addition,
83,2010-05-05,Addition,
84,2010-05-06,Addition,
85,2010-05-07,Addition,
86,2010-05-11,Addition,
87,2010-05-12,Addition,
88,2010-05-13,Addition,
89,2010-05-14,Addition,
90,2010-05-17,Addition,
91,2010-05-18,Addition,
92,2010-05-19,Addition,
93,2010-05-20,Addition,
94,2010-05-21,Addition,
95,2010-05-24,Addition,
96,2010-05-25,Addition,
97,2010-05-26,Addition,
98,2010-05-27,Addition,
99,2010-05-28,Addition,
100,2010-06-01,Addition,
101,2010-06-02,Addition,
102,2010-06-03,Addition,
103,2010-06-04,Addition,
104,2010-06-07,Addition,
105,2010-06-08,Addition,
106,2010-06-09,Addition,
107,2010-06-10,Addition,
108,2010-06-11,Addition,
109,2010-06-14,Addition,
110,2010-06-15,Addition,
111,2010-06-16,Addition,
112,2010-06-17,Addition,
113,2010-06-18,Addition,
114,2010-06-21,Addition,
115,2010-06-22,Addition,
116,2010-06-23,Addition,
117,2010-06-24,Addition,
118,2010-06-25,Addition,
119,2010-06-28,Addition,
120,2010-06-29,Addition,
121,2010-06-30,Addition,
122,2010-07-01,Addition,
123,2010-07-02,Addition,
124,2010-07-06,Addition,
125,2010-07-07,Addition,
126,2010-07-08,Addition,
127,2010-07-09,Addition,
128,2010-07-12,Addition,
129,2010-07-13,Addition,
130,2010-07-14,Addition,
131,2010-07-15,Addition,
132,2010-07-16,Addition,
133,2010-07-19,Addition,
134,2010-07-20,Addition,
135,2010-07-21,Addition,
136,2010-07-22,Addition,
137,2010-07-23,Addition,
138,2010-07-26,Addition,
139,2010-07-27,Addition,
140,2010-07-28,Addition,
141,2010-07-29,Addition,
142,2010-07-30,Addition,
143,2010-08-02,Addition,
144,2010-08-03,Addition,
145,2010-08-04,Addition,
146,2010-08-05,Addition,
147,2010-08-06,Addition,
148,2010-08-07,Addition,
149,2010-08-10,Addition,
150,2010-08-11,Addition,
151,2010-08-12,Addition,
152,2010-08-13,Addition,
153,2010-08-16,Addition,
154,2010-08-17,Addition,
155,2010-08-18,Addition,
156,2010-08-19,Addition,
157,2010-08-20,Addition,
158,2010-08-23,Addition,
159,2010-08-24,Addition,
160,2010-08-25,Addition,
161,2010-08-26,Addition,
162,2010-08-27,Addition,
163,2010-08-30,Addition,
164,2010-08-31,Addition,
165,2010-09-01,Addition,
166,2010-09-02,Addition,
167,2010-09-03,Addition,
168,2010-09-07,Addition,
169,2010-09-08,Addition,
170,2010-09-09,Addition,
171,2010-09-10,Addition,
172,2010-09-13,Addition,
173,2010-09-14,Addition,
174,2010-09-15,Addition,
175,2010-09-16,Addition,
176,2010-09-17,Addition,
177,2010-09-20,Addition,
178,2010-09-21,Addition,
179,2010-09-22,Addition,
180,2010-09-23,Addition,
181,2010-09-24,Addition,
182,2010-09-27,Addition,
183,2010-09-28,Addition,
184,2010-09-29,Addition,
185,2010-09-30,Addition,
186,2010-10-01,Addition,
187,2010-10-04,Addition,
188,2010-10-05,Addition,
189,2010-10-06,Addition,
190,2010-10-07,Addition,
191,2010-10-08,Addition,
192,2010-10-11,Addition,
193,2010-10-12,Addition,
194,2010-10-13,Addition,
195,2010-10-14,Addition,
196,2010-10-15,Addition,
197,2010-10-18,Addition,
198,2010-10-19,Addition,
199,2010-10-20,Addition,
200,2010-10-21,Addition,
201,2010-10-22,Addition,
202,2010-10-25,Addition,
203,2010-10-26,Addition,
204,2010-10-27,Addition,
205,2010-10-28,Addition,
206,2010-10-29,Addition,
207,2010-11-02,Addition,
208,2010-11-03,Addition,
209,2010-11-04,Addition,
210,2010-11-05,Addition,
211,2010-11-08,Addition,
212,2010-11-09,Addition,
213,2010-11-10,Addition,
214,2010-11-12,Addition,
215,2010-11-15,Addition,
216,2010-11-16,Addition,
217,2010-11-17,Addition,
218,2010-11-18,Addition,
219,2010-11-19,Addition,
220,2010-11-22,Addition,
221,2010-11-23,Addition,
222,2010-11-24,Addition,
223,2010-11-30,Addition,
224,2010-12-01,Addition,
225,2010-12-02,Addition,
226,2010-12-03,Addition,
227,2010-12-06,Addition,
228,2010-12-07,Addition,
229,2010-12-08,Addition,
230,2010-12-09,Addition,
231,2010-12-10,Addition,
232,2010-12-13,Addition,
233,2010-12-14,Addition,
234,2010-12-15,Addition,
235,2010-12-16,Addition,
236,2010-12-17,Addition,
237,2010-12-20,Addition,
238,2010-12-21,Addition,
239,2010-12-22,Addition,
240,2010-12-23,Addition,
241,2010-12-27,Addition,
242,2010-12-28,Addition,
243,2010-12-29,Addition,
244,2011-01-03,Addition,
245,2011-01-04,Addition,
246,2011-01-05,Addition,
247,2011-01-06,Addition,
248,2011-01-07,Addition,
249,2011-01-11,Addition,
250,2011-01-12,Addition,
251,2011-01-13,Addition,
252,2011-01-14,Addition,
253,2011-01-18,Addition,
254,2011-01-19,Addition,
255,2011-01-20,Addition,
256,2011-01-21,Addition,
257,2011-01-24,Addition,
258,2011-01-25,Addition,
259,2011-01-26,Addition,
260,2011-01-27,Addition,
261,2011-01-28,Addition,
262,2011-01-31,Addition,
263,2011-02-01,Addition,
264,2011-02-02,Addition,
265,2011-02-03,Addition,
266,2011-02-04,Addition,
