date,type,value
2011-01-02,Commercial,711.9153005464481
2011-01-03,Commercial,875.2103825136612
2011-01-04,Commercial,875.2103825136612
2011-01-05,Commercial,857.6256830601093
2011-01-06,Commercial,857.6256830601093
2011-01-07,Commercial,857.6256830601093
2011-01-08,Commercial,857.6256830601093
2011-01-09,Commercial,857.6256830601093
2011-01-10,Commercial,857.6256830601093
2011-01-11,Commercial,857.6256830601093
2011-01-12,Commercial,857.6256830601093
2011-01-13,Commercial,857.6256830601093
2011-01-14,Commercial,857.6256830601093
2011-01-15,Commercial,857.6256830601093
2011-01-16,Commercial,857.6256830601093
2011-01-17,Commercial,857.6256830601093
2011-01-18,Commercial,857.6256830601093
2011-01-19,Commercial,857.6256830601093
2011-01-20,Commercial,857.6256830601093
2011-01-21,Commercial,866.2295081967213
2011-01-22,Commercial,866.2295081967213
2011-01-23,Commercial,866.2295081967213
2011-01-24,Commercial,866.2295081967213
2011-01-25,Commercial,866.2295081967213
2011-01-26,Commercial,886.396174863388
2011-01-27,Commercial,910.4043715846994
2011-01-28,Commercial,910.9289617486339
2011-01-29,Commercial,910.9289617486339
2011-01-30,Commercial,910.9289617486339
2011-01-31,Commercial,910.9289617486339
2011-02-01,Commercial,910.9289617486339
2011-02-02,Commercial,910.9289617486339
2011-02-03,Commercial,910.9289617486339
2011-02-04,Commercial,910.9289617486339
2011-02-05,Commercial,910.9289617486339
2011-02-06,Commercial,910.9289617486339
2011-02-07,Commercial,910.9289617486339
2011-02-08,Commercial,977.1530054644809
2011-02-09,Commercial,977.1530054644809
2011-02-10,Commercial,977.1530054644809
2011-02-11,Commercial,977.1530054644809
2011-02-12,Commercial,977.1530054644809
2011-02-13,Commercial,977.1530054644809
2011-02-14,Commercial,977.1530054644809
2011-02-15,Commercial,977.1530054644809
2011-02-16,Commercial,977.1530054644809
2011-02-17,Commercial,976.8524590163935
2011-02-18,Commercial,976.8524590163935
2011-02-19,Commercial,976.8524590163935
2011-02-20,Commercial,974.6939890710382
2011-02-21,Commercial,974.6939890710382
2011-02-22,Commercial,974.6939890710382
2011-02-23,Commercial,911.8688524590164
2011-02-24,Commercial,911.8688524590164
2011-02-25,Commercial,911.8688524590164
2011-02-26,Commercial,911.8688524590164
2011-02-27,Commercial,911.8688524590164
2011-02-28,Commercial,911.8688524590164
2011-03-01,Commercial,911.8688524590164
2011-03-02,Commercial,911.8688524590164
2011-03-03,Commercial,1475.7021857923498
2011-03-04,Commercial,1475.7021857923498
2011-03-05,Commercial,1475.7021857923498
2011-03-06,Commercial,1475.7021857923498
2011-03-07,Commercial,1475.7021857923498
2011-03-08,Commercial,1480.0245901639344
2011-03-09,Commercial,1480.0245901639344
2011-03-10,Commercial,1480.0245901639344
2011-03-11,Commercial,1480.0245901639344
2011-03-12,Commercial,1480.0245901639344
2011-03-13,Commercial,1480.0245901639344
2011-03-14,Commercial,1480.0245901639344
2011-03-15,Commercial,1480.0245901639344
2011-03-16,Commercial,1480.0245901639344
2011-03-17,Commercial,1480.0245901639344
2011-03-18,Commercial,1480.0245901639344
2011-03-19,Commercial,1480.0245901639344
2011-03-20,Commercial,1436.5081967213114
2011-03-21,Commercial,1439.7131147540983
2011-03-22,Commercial,1439.7131147540983
2011-03-23,Commercial,1439.7131147540983
2011-03-24,Commercial,1439.7131147540983
2011-03-25,Commercial,1439.7131147540983
2011-03-26,Commercial,1439.7131147540983
2011-03-27,Commercial,1439.7131147540983
2011-03-28,Commercial,1439.7131147540983
2011-03-29,Commercial,1439.7131147540983
2011-03-30,Commercial,1439.7131147540983
2011-03-31,Commercial,1444.3715846994535
2011-04-01,Commercial,1443.9890710382513
2011-04-02,Commercial,1443.9890710382513
2011-04-03,Commercial,1443.9890710382513
2011-04-04,Commercial,1443.9890710382513
2011-04-05,Commercial,1443.9890710382513
2011-04-06,Commercial,1741.1530054644809
2011-04-07,Commercial,1741.1530054644809
2011-04-08,Commercial,1741.1530054644809
2011-04-09,Commercial,1737.1120218579235
2011-04-10,Commercial,1568.464480874317
2011-04-11,Commercial,1568.464480874317
2011-04-12,Commercial,1568.464480874317
2011-04-13,Commercial,1568.464480874317
2011-04-14,Commercial,1568.464480874317
2011-04-15,Commercial,1568.464480874317
2011-04-16,Commercial,1568.464480874317
2011-04-17,Commercial,1568.464480874317
2011-04-18,Commercial,1568.464480874317
2011-04-19,Commercial,1568.464480874317
2011-04-20,Commercial,1568.464480874317
2011-04-21,Commercial,1568.464480874317
2011-04-22,Commercial,1568.464480874317
2011-04-23,Commercial,1568.464480874317
2011-04-24,Commercial,1539.275956284153
2011-04-25,Commercial,1539.275956284153
2011-04-26,Commercial,1539.275956284153
2011-04-27,Commercial,1539.275956284153
2011-04-28,Commercial,1535.568306010929
2011-04-29,Commercial,1535.568306010929
2011-04-30,Commercial,1303.6584699453551
2011-05-01,Commercial,1303.6584699453551
2011-05-02,Commercial,1303.6584699453551
2011-05-03,Commercial,1303.6584699453551
2011-05-04,Commercial,1303.6584699453551
2011-05-05,Commercial,1293.5464480874316
2011-05-06,Commercial,1298.0819672131147
2011-05-07,Commercial,1298.0819672131147
2011-05-08,Commercial,1298.0819672131147
2011-05-09,Commercial,1298.0819672131147
2011-05-10,Commercial,1298.0819672131147
2011-05-11,Commercial,1298.0819672131147
2011-05-12,Commercial,1311.5437158469945
2011-05-13,Commercial,1311.5437158469945
2011-05-14,Commercial,1311.5437158469945
2011-05-15,Commercial,1311.5437158469945
2011-05-16,Commercial,1311.5437158469945
2011-05-17,Commercial,1311.5437158469945
2011-05-18,Commercial,1310.2540983606557
2011-05-19,Commercial,1310.2540983606557
2011-05-20,Commercial,1310.2540983606557
2011-05-21,Commercial,1310.2540983606557
2011-05-22,Commercial,1310.2540983606557
2011-05-23,Commercial,1310.2540983606557
2011-05-24,Commercial,1310.2540983606557
2011-05-25,Commercial,1310.2540983606557
2011-05-26,Commercial,1310.2540983606557
2011-05-27,Commercial,1310.2540983606557
2011-05-28,Commercial,1305.5437158469945
2011-05-29,Commercial,1305.5437158469945
2011-05-30,Commercial,1305.5437158469945
2011-05-31,Commercial,1305.5437158469945
2011-06-01,Commercial,1305.5437158469945
2011-06-02,Commercial,1305.5437158469945
2011-06-03,Commercial,1305.5437158469945
2011-06-04,Commercial,1305.5437158469945
2011-06-05,Commercial,1296.691256830601
2011-06-06,Commercial,1296.691256830601
2011-06-07,Commercial,1299.051912568306
2011-06-08,Commercial,1295.0109289617487
2011-06-09,Commercial,1295.0109289617487
2011-06-10,Commercial,1295.0109289617487
2011-06-11,Commercial,1295.0109289617487
2011-06-12,Commercial,1295.0109289617487
2011-06-13,Commercial,1295.0109289617487
2011-06-14,Commercial,1295.0109289617487
2011-06-15,Commercial,1295.6666666666667
2011-06-16,Commercial,1295.6666666666667
2011-06-17,Commercial,1304.4918032786886
2011-06-18,Commercial,1304.4918032786886
2011-06-19,Commercial,1291.9262295081967
2011-06-20,Commercial,1291.9262295081967
2011-06-21,Commercial,1291.9262295081967
2011-06-22,Commercial,1301.1065573770493
2011-06-23,Commercial,1301.1065573770493
2011-06-24,Commercial,1301.5
2011-06-25,Commercial,1301.5
2011-06-26,Commercial,1301.5
2011-06-27,Commercial,1301.5
2011-06-28,Commercial,1301.5
2011-06-29,Commercial,1301.5
2011-06-30,Commercial,1301.5
2011-07-01,Commercial,1301.5
2011-07-02,Commercial,1301.5
2011-07-03,Commercial,1301.5
2011-07-04,Commercial,1301.5
2011-07-05,Commercial,1301.5
2011-07-06,Commercial,1301.5
2011-07-07,Commercial,1301.5
2011-07-08,Commercial,1301.5
2011-07-09,Commercial,1301.5
2011-07-10,Commercial,1297.707650273224
2011-07-11,Commercial,1297.707650273224
2011-07-12,Commercial,1297.707650273224
2011-07-13,Commercial,1297.707650273224
2011-07-14,Commercial,1299.1803278688524
2011-07-15,Commercial,1299.1803278688524
2011-07-16,Commercial,1299.1803278688524
2011-07-17,Commercial,1299.1803278688524
2011-07-18,Commercial,1299.1803278688524
2011-07-19,Commercial,1300.983606557377
2011-07-20,Commercial,1300.983606557377
2011-07-21,Commercial,1300.983606557377
2011-07-22,Commercial,1300.983606557377
2011-07-23,Commercial,1300.983606557377
2011-07-24,Commercial,1294.4945355191257
2011-07-25,Commercial,1294.4945355191257
2011-07-26,Commercial,1294.4945355191257
2011-07-27,Commercial,1309.2486338797814
2011-07-28,Commercial,1309.2486338797814
2011-07-29,Commercial,1309.2486338797814
2011-07-30,Commercial,1309.2486338797814
2011-07-31,Commercial,1309.2486338797814
2011-08-01,Commercial,1309.2486338797814
2011-08-02,Commercial,1309.2486338797814
2011-08-03,Commercial,1309.2486338797814
2011-08-04,Commercial,1309.2486338797814
2011-08-05,Commercial,1309.2486338797814
2011-08-06,Commercial,1309.2486338797814
2011-08-07,Commercial,1309.2486338797814
2011-08-08,Commercial,1309.2486338797814
2011-08-09,Commercial,1314.9262295081967
2011-08-10,Commercial,1314.9262295081967
2011-08-11,Commercial,1314.9262295081967
2011-08-12,Commercial,1314.9262295081967
2011-08-13,Commercial,1314.9262295081967
2011-08-14,Commercial,1314.9262295081967
2011-08-15,Commercial,1314.9262295081967
2011-08-16,Commercial,1314.9262295081967
2011-08-17,Commercial,1314.9262295081967
2011-08-18,Commercial,1314.9262295081967
2011-08-19,Commercial,1314.9262295081967
2011-08-20,Commercial,1314.9262295081967
2011-08-21,Commercial,1314.9262295081967
2011-08-22,Commercial,1314.9262295081967
2011-08-23,Commercial,1314.9262295081967
2011-08-24,Commercial,1314.9262295081967
2011-08-25,Commercial,1314.9262295081967
2011-08-26,Commercial,1314.9262295081967
2011-08-27,Commercial,1314.9262295081967
2011-08-28,Commercial,1314.9262295081967
2011-08-29,Commercial,1314.9262295081967
2011-08-30,Commercial,1314.9262295081967
2011-08-31,Commercial,1295.2677595628415
2011-09-01,Commercial,1295.2677595628415
2011-09-02,Commercial,1295.2677595628415
2011-09-03,Commercial,1295.2677595628415
2011-09-04,Commercial,1295.2677595628415
2011-09-05,Commercial,1295.2677595628415
2011-09-06,Commercial,1295.2677595628415
2011-09-07,Commercial,1296.448087431694
2011-09-08,Commercial,1296.448087431694
2011-09-09,Commercial,1296.448087431694
2011-09-10,Commercial,1296.448087431694
2011-09-11,Commercial,1296.448087431694
2011-09-12,Commercial,1296.448087431694
2011-09-13,Commercial,1296.448087431694
2011-09-14,Commercial,1296.448087431694
2011-09-15,Commercial,1296.448087431694
2011-09-16,Commercial,1297.4535519125684
2011-09-17,Commercial,1297.4535519125684
2011-09-18,Commercial,1297.4535519125684
2011-09-19,Commercial,1297.4535519125684
2011-09-20,Commercial,1302.7322404371585
2011-09-21,Commercial,1302.7322404371585
2011-09-22,Commercial,1302.7322404371585
2011-09-23,Commercial,1302.7322404371585
2011-09-24,Commercial,1302.7322404371585
2011-09-25,Commercial,1302.7322404371585
2011-09-26,Commercial,1302.7322404371585
2011-09-27,Commercial,1302.7322404371585
2011-09-28,Commercial,1302.7322404371585
2011-09-29,Commercial,1302.7322404371585
2011-09-30,Commercial,1302.7322404371585
2011-10-01,Commercial,1302.7322404371585
2011-10-02,Commercial,1302.7322404371585
2011-10-03,Commercial,1302.7322404371585
2011-10-04,Commercial,1302.7322404371585
2011-10-05,Commercial,1302.7322404371585
2011-10-06,Commercial,1302.7322404371585
2011-10-07,Commercial,1302.7322404371585
2011-10-08,Commercial,1302.7322404371585
2011-10-09,Commercial,1302.7322404371585
2011-10-10,Commercial,1302.7322404371585
2011-10-11,Commercial,1302.7322404371585
2011-10-12,Commercial,1302.7322404371585
2011-10-13,Commercial,1302.7322404371585
2011-10-14,Commercial,1302.7322404371585
2011-10-15,Commercial,1302.7322404371585
2011-10-16,Commercial,1302.7322404371585
2011-10-17,Commercial,1302.7322404371585
2011-10-18,Commercial,1310.9125683060108
2011-10-19,Commercial,1310.9125683060108
2011-10-20,Commercial,1310.9125683060108
2011-10-21,Commercial,1310.9125683060108
2011-10-22,Commercial,1307.1939890710382
2011-10-23,Commercial,1307.1939890710382
2011-10-24,Commercial,1307.1939890710382
2011-10-25,Commercial,1307.1939890710382
2011-10-26,Commercial,1299.136612021858
2011-10-27,Commercial,1299.136612021858
2011-10-28,Commercial,1299.136612021858
2011-10-29,Commercial,1279.450819672131
2011-10-30,Commercial,1278.0765027322404
2011-10-31,Commercial,1278.0765027322404
2011-11-01,Commercial,1278.0765027322404
2011-11-02,Commercial,1493.0901639344263
2011-11-03,Commercial,1493.0901639344263
2011-11-04,Commercial,1493.0901639344263
2011-11-05,Commercial,1493.0901639344263
2011-11-06,Commercial,1493.0901639344263
2011-11-07,Commercial,1493.0901639344263
2011-11-08,Commercial,1493.0901639344263
2011-11-09,Commercial,1493.0901639344263
2011-11-10,Commercial,1493.0901639344263
2011-11-11,Commercial,1493.0901639344263
2011-11-12,Commercial,1493.0901639344263
2011-11-13,Commercial,1493.0901639344263
2011-11-14,Commercial,1493.0901639344263
2011-11-15,Commercial,1493.0901639344263
2011-11-16,Commercial,1493.0901639344263
2011-11-17,Commercial,1493.0901639344263
2011-11-18,Commercial,1493.0901639344263
2011-11-19,Commercial,1493.0901639344263
2011-11-20,Commercial,1493.0901639344263
2011-11-21,Commercial,1493.0901639344263
2011-11-22,Commercial,1493.7704918032787
2011-11-23,Commercial,1547.8360655737704
2011-11-24,Commercial,1547.8360655737704
2011-11-25,Commercial,1547.8360655737704
2011-11-26,Commercial,1547.8360655737704
2011-11-27,Commercial,1547.8360655737704
2011-11-28,Commercial,1547.8360655737704
2011-11-29,Commercial,1547.8360655737704
2011-11-30,Commercial,1554.9234972677596
2011-12-01,Commercial,1520.896174863388
2011-12-02,Commercial,1520.3907103825136
2011-12-03,Commercial,1520.3907103825136
2011-12-04,Commercial,1520.3907103825136
2011-12-05,Commercial,1520.3907103825136
2011-12-06,Commercial,1520.3907103825136
2011-12-07,Commercial,1520.3907103825136
2011-12-08,Commercial,1555.792349726776
2011-12-09,Commercial,1555.792349726776
2011-12-10,Commercial,1555.792349726776
2011-12-11,Commercial,1555.792349726776
2011-12-12,Commercial,1555.792349726776
2011-12-13,Commercial,1555.792349726776
2011-12-14,Commercial,1555.792349726776
2011-12-15,Commercial,1933.8989071038252
2011-12-16,Commercial,1933.8989071038252
2011-12-17,Commercial,1933.8989071038252
2011-12-18,Commercial,1933.8989071038252
2011-12-19,Commercial,1933.8989071038252
2011-12-20,Commercial,1933.8989071038252
2011-12-21,Commercial,1933.8989071038252
2011-12-22,Commercial,1947.8661202185792
2011-12-23,Commercial,1947.8661202185792
2011-12-24,Commercial,1947.8661202185792
2011-12-25,Commercial,1947.8661202185792
2011-12-26,Commercial,1947.8661202185792
2011-12-27,Commercial,1947.8661202185792
2011-12-28,Commercial,1947.8661202185792
2011-12-29,Commercial,1947.8661202185792
2011-12-30,Commercial,1947.8661202185792
2011-12-31,Commercial,1947.8661202185792
2012-01-01,Commercial,1947.8661202185792
2012-01-02,Commercial,1947.8661202185792
2012-01-03,Commercial,1947.8661202185792
2012-01-04,Commercial,1784.5710382513662
2012-01-05,Commercial,1784.5710382513662
2012-01-06,Commercial,1784.5710382513662
2012-01-07,Commercial,1784.5710382513662
2012-01-08,Commercial,1784.5710382513662
2012-01-09,Commercial,1784.5710382513662
2012-01-10,Commercial,1784.5710382513662
2012-01-11,Commercial,1784.5710382513662
2012-01-12,Commercial,1784.5710382513662
2012-01-13,Commercial,1784.5710382513662
2012-01-14,Commercial,1784.5710382513662
2012-01-15,Commercial,1784.5710382513662
