date,type,value
2011-01-02,Accessory Dwelling Unit,85.49453551912568
2011-01-03,Accessory Dwelling Unit,85.49453551912568
2011-01-04,Accessory Dwelling Unit,86.36612021857924
2011-01-05,Accessory Dwelling Unit,86.36612021857924
2011-01-06,Accessory Dwelling Unit,86.36612021857924
2011-01-07,Accessory Dwelling Unit,86.36612021857924
2011-01-08,Accessory Dwelling Unit,86.36612021857924
2011-01-09,Accessory Dwelling Unit,86.36612021857924
2011-01-10,Accessory Dwelling Unit,86.36612021857924
2011-01-11,Accessory Dwelling Unit,86.36612021857924
2011-01-12,Accessory Dwelling Unit,86.36612021857924
2011-01-13,Accessory Dwelling Unit,86.36612021857924
2011-01-14,Accessory Dwelling Unit,87.74863387978142
2011-01-15,Accessory Dwelling Unit,87.74863387978142
2011-01-16,Accessory Dwelling Unit,87.74863387978142
2011-01-17,Accessory Dwelling Unit,87.74863387978142
2011-01-18,Accessory Dwelling Unit,87.74863387978142
2011-01-19,Accessory Dwelling Unit,87.74863387978142
2011-01-20,Accessory Dwelling Unit,87.74863387978142
2011-01-21,Accessory Dwelling Unit,87.74863387978142
2011-01-22,Accessory Dwelling Unit,87.74863387978142
2011-01-23,Accessory Dwelling Unit,87.74863387978142
2011-01-24,Accessory Dwelling Unit,87.74863387978142
2011-01-25,Accessory Dwelling Unit,87.74863387978142
2011-01-26,Accessory Dwelling Unit,87.74863387978142
2011-01-27,Accessory Dwelling Unit,87.74863387978142
2011-01-28,Accessory Dwelling Unit,87.74863387978142
2011-01-29,Accessory Dwelling Unit,87.74863387978142
2011-01-30,Accessory Dwelling Unit,87.74863387978142
2011-01-31,Accessory Dwelling Unit,87.74863387978142
2011-02-01,Accessory Dwelling Unit,90.49180327868852
2011-02-02,Accessory Dwelling Unit,90.49180327868852
2011-02-03,Accessory Dwelling Unit,90.49180327868852
2011-02-04,Accessory Dwelling Unit,88.98907103825137
2011-02-05,Accessory Dwelling Unit,88.98907103825137
2011-02-06,Accessory Dwelling Unit,88.98907103825137
2011-02-07,Accessory Dwelling Unit,88.98907103825137
2011-02-08,Accessory Dwelling Unit,88.98907103825137
2011-02-09,Accessory Dwelling Unit,88.98907103825137
2011-02-10,Accessory Dwelling Unit,88.98907103825137
2011-02-11,Accessory Dwelling Unit,88.98907103825137
2011-02-12,Accessory Dwelling Unit,88.98907103825137
2011-02-13,Accessory Dwelling Unit,88.98907103825137
2011-02-14,Accessory Dwelling Unit,89.80874316939891
2011-02-15,Accessory Dwelling Unit,89.80874316939891
2011-02-16,Accessory Dwelling Unit,89.80874316939891
2011-02-17,Accessory Dwelling Unit,89.80874316939891
2011-02-18,Accessory Dwelling Unit,89.80874316939891
2011-02-19,Accessory Dwelling Unit,88.9207650273224
2011-02-20,Accessory Dwelling Unit,88.9207650273224
2011-02-21,Accessory Dwelling Unit,88.9207650273224
2011-02-22,Accessory Dwelling Unit,88.9207650273224
2011-02-23,Accessory Dwelling Unit,90.7896174863388
2011-02-24,Accessory Dwelling Unit,90.7896174863388
2011-02-25,Accessory Dwelling Unit,90.7896174863388
2011-02-26,Accessory Dwelling Unit,90.7896174863388
2011-02-27,Accessory Dwelling Unit,90.7896174863388
2011-02-28,Accessory Dwelling Unit,90.7896174863388
2011-03-01,Accessory Dwelling Unit,90.7896174863388
2011-03-02,Accessory Dwelling Unit,90.7896174863388
2011-03-03,Accessory Dwelling Unit,90.7896174863388
2011-03-04,Accessory Dwelling Unit,94.19945355191257
2011-03-05,Accessory Dwelling Unit,94.19945355191257
2011-03-06,Accessory Dwelling Unit,90.89071038251366
2011-03-07,Accessory Dwelling Unit,90.89071038251366
2011-03-08,Accessory Dwelling Unit,90.89071038251366
2011-03-09,Accessory Dwelling Unit,90.89071038251366
2011-03-10,Accessory Dwelling Unit,90.89071038251366
2011-03-11,Accessory Dwelling Unit,90.89071038251366
2011-03-12,Accessory Dwelling Unit,90.89071038251366
2011-03-13,Accessory Dwelling Unit,90.89071038251366
2011-03-14,Accessory Dwelling Unit,90.89071038251366
2011-03-15,Accessory Dwelling Unit,90.89071038251366
2011-03-16,Accessory Dwelling Unit,92.54098360655738
2011-03-17,Accessory Dwelling Unit,92.54098360655738
2011-03-18,Accessory Dwelling Unit,92.54098360655738
2011-03-19,Accessory Dwelling Unit,92.54098360655738
2011-03-20,Accessory Dwelling Unit,89.63387978142076
2011-03-21,Accessory Dwelling Unit,91.81967213114754
2011-03-22,Accessory Dwelling Unit,91.81967213114754
2011-03-23,Accessory Dwelling Unit,91.81967213114754
2011-03-24,Accessory Dwelling Unit,91.81967213114754
2011-03-25,Accessory Dwelling Unit,91.81967213114754
2011-03-26,Accessory Dwelling Unit,91.81967213114754
2011-03-27,Accessory Dwelling Unit,91.81967213114754
2011-03-28,Accessory Dwelling Unit,91.81967213114754
