date,total_sqft_issued_amt,total_new_units_issued_amt,count_permits_issued,count_total_permits_issued
2011-01-02,13384.678192307692,4.5115384615384615,115.61475409836065,42315
2011-01-03,13577.257969348659,4.498084291187739,115.97540983606558,42447
2011-01-04,13559.108129770993,4.4961832061068705,116.61748633879782,42682
2011-01-05,13540.402022900764,4.49236641221374,116.77595628415301,42740
2011-01-06,13526.444007633589,4.488549618320611,116.69672131147541,42711
2011-01-07,13537.59286259542,4.4961832061068705,116.76775956284153,42737
2011-01-08,13561.33459770115,4.501915708812261,116.40983606557377,42606
2011-01-09,13590.612807692309,4.519230769230769,116.06557377049181,42480
2011-01-10,13538.541494252873,4.501915708812261,116.42349726775956,42611
2011-01-11,13697.29896946565,4.5,116.95081967213115,42804
2011-01-12,13714.863854961832,4.511450381679389,117.0327868852459,42834
2011-01-13,13696.554694656488,4.50763358778626,116.9207650273224,42793
2011-01-14,13682.936374045801,4.5038167938931295,116.8688524590164,42774
2011-01-15,13720.748390804598,4.517241379310345,116.55464480874316,42659
2011-01-16,13734.547423076923,4.523076923076923,116.28142076502732,42559
2011-01-17,13734.547423076923,4.523076923076923,116.40163934426229,42603
2011-01-18,13710.29245210728,4.513409961685824,116.8743169398907,42776
2011-01-19,13786.667931034483,4.517241379310345,117.29781420765028,42931
2011-01-20,13778.625785440614,4.517241379310345,117.25956284153006,42917
2011-01-21,13782.510842911877,4.521072796934866,117.25409836065573,42915
2011-01-22,13761.68325670498,4.501915708812261,116.71857923497268,42719
2011-01-23,13789.135884615385,4.515384615384615,116.25409836065573,42549
2011-01-24,13753.844176245211,4.498084291187739,116.49726775956285,42638
2011-01-25,13727.424923664123,4.49236641221374,117.01912568306011,42829
2011-01-26,13759.600496183206,4.49236641221374,117.17213114754098,42885
2011-01-27,13788.72645038168,4.49236641221374,117.17213114754098,42885
2011-01-28,13758.535610687024,4.480916030534351,117.1584699453552,42880
2011-01-29,13759.526168582375,4.478927203065134,116.7568306010929,42733
2011-01-30,13758.793576923077,4.476923076923077,116.34699453551913,42583
2011-01-31,13747.430383141762,4.46360153256705,116.59016393442623,42672
2011-02-01,13720.073778625954,4.4541984732824424,117.07103825136612,42848
2011-02-02,13711.535610687024,4.431297709923665,117.17486338797814,42886
2011-02-03,13690.432557251908,4.423664122137405,117.12021857923497,42866
2011-02-04,13656.657748091604,4.408396946564886,117.14207650273224,42874
2011-02-05,13682.464865900383,4.417624521072797,116.74590163934427,42729
2011-02-06,13715.412807692308,4.434615384615385,116.41803278688525,42609
2011-02-07,13662.863333333333,4.417624521072797,116.6311475409836,42687
2011-02-08,13712.279885496184,4.404580152671755,117.19945355191257,42895
2011-02-09,13714.138664122138,4.374045801526718,117.45628415300547,42989
2011-02-10,13705.882938931298,4.3816793893129775,117.37158469945355,42958
2011-02-11,13690.974541984733,4.370229007633588,117.3688524590164,42957
2011-02-12,13707.817356321839,4.375478927203065,116.89071038251366,42782
2011-02-13,13754.385884615385,4.392307692307693,116.67213114754098,42702
2011-02-14,13755.539730769231,4.3961538461538465,116.97540983606558,42813
2011-02-15,13734.25030651341,4.390804597701149,117.44535519125684,42985
2011-02-16,13712.134847328245,4.3816793893129775,117.76502732240438,43102
2011-02-17,13731.573778625954,4.3816793893129775,117.86065573770492,43137
2011-02-18,13746.344770992368,4.3816793893129775,117.91256830601093,43156
2011-02-19,13757.039578544061,4.383141762452107,117.42349726775956,42977
2011-02-20,13791.739730769232,4.4,117.02732240437159,42832
2011-02-21,13844.989691119692,4.416988416988417,117.16666666666667,42883
