Structure,Submitted,Issued,Type_of_Work,Building_Function,New_Square_Feet,Buildings_Stories,New_Residential_Units,Construction_Value,Description
"Rowhouse, Townhouse, Duplex",2025-02-20,2026-05-01,New Construction,Residential,2217.0,2.0,1.0,320871.0,SINGLE PDF - MHLD: NEW 2 OF 2 TOWNHOUSE UNITS ON SHARED LOT TO BE DIVIDED UNDER FUTURE MHLD / 2-STORY / 1-CAR GARAGE / SLOPED LOT / COMPLEX w/25-013256-RS *13D FIRE SPRINKLERS AS A DFS* *ADDED ELECTRICAL* ADDED MECH*  *ADDED PLUMBING*
"Rowhouse, Townhouse, Duplex",2025-02-20,2026-05-01,New Construction,Residential,2188.0,2.0,1.0,342976.0,SINGLE PDF - MHLD: NEW 1 OF 2 TOWNHOUSE UNITS ON SHARED LOT TO BE DIVIDED UNDER FUTURE MHLD / 2-STORY / NO GARAGE / SLOPED LOT / COMPLEX w/25-013260-RS *13D FIRE SPRINKLER DFS*   *ADDED ELECTRICAL*ADDED MECH*  *ADDED PLUMBING*
Accessory Structures,2026-03-18,2026-05-01,Addition/Alteration,Residential,390.0,,,27700.0,"SINGLE PDF REPLACING EXISTING DECK WITH NEW 390 SQFT DECK.  COVER, STAIRS, RAILING, FOOTINGS, LEADING TO AN EXISTING CONCRETE PATIO.  "
Single Family Detached,2026-03-13,2026-04-30,Addition/Alteration,Residential,3550.0,,0.0,200092.0,"SINGLE PDF - FULL INTERIOR REMODEL, ADDING NEW BEDROOM, NEW HALF BATH (4 TOILETS TOTAL) NEW WINDOWS *** ANY ET PT MT SEPARATE"
Single Family Detached,2020-07-15,2026-04-30,Addition/Alteration,Residential,1289.0,2.0,0.0,0.0,"WHOLE HOUSE REMODEL INCLUDING 3 BUMPOUTS AND A 2ND STORY ADDITION, 1 NEW BATHROOMS. TOTAL 3 BATHROOMS."
Single Family Detached,2026-02-09,2026-04-30,Addition/Alteration,Residential,224.0,2.0,0.0,100000.0,SINGLE PDF - ADDITION OF 230 SF SHED DORMER TO SECOND FLOOR AT REAR OF HOUSE. RECONFIGURE SECOND FLOOR BEDROOMS
Single Family Detached,2026-03-20,2026-04-29,Addition/Alteration,Residential,3051.0,1.0,0.0,0.0,"SINGLE PDF- 2715 SF ADDITION TO INCLUDE BASEMENT AND MAIN FLOOR, 336SF GARAGE ADDITON, NEW ET, PT AND MT THROUGHOUT HOUSE, ADD THREE BATHROOMS (6TH), RECONFIGURE INTERIOR PARTITON WALLS, ET, PT AND MT TO CODE."
Accessory Dwelling Unit,2026-01-21,2026-04-29,New Construction,Residential,1897.0,2.0,2.0,224663.0,"SINGLE PDF - DETACHED TWO UNIT COMBINED ADU BOTH 1 BEDROOM 1 BATHROOM *** ET PT MT INCLUDED***Cesspool decommission required. Call inspection #842 prior to footing concrete placement*** Septic Decommissioning Required.  Call for Inspection 842."
Single Family Detached,2026-03-18,2026-04-29,Addition/Alteration,Residential,1624.0,,0.0,91535.0,"SINGLE PDF - CHANGE OF USE PERMIT FROM SINGLE-FAMILY RESIDENCE TO AN R-3 RESIDENTIAL TREATEMENT HOME FOR 5 OR FEWER PERSONS RECEIVING MEDICAL CARE (I-2 CONDITION 2 OCCUPANCY) IN ACCORDANCE WITH ORS 443.400 AND OSSC 308.3.2 *** NFPA 13D SPRINKLERS INSTALLED UNDER PERMIT 08-152110-DFS-02-RS *** This permit also legalizes work done in the basement to add an office, bar area, and family room. ***"
Single Family Detached,2026-02-09,2026-04-29,Addition/Alteration,Residential,1405.0,,0.0,79191.0,"SINGLE PDF - WHOLE HOUSE REMODEL - RECONFICURE MAIN FLOOR AND ADD BATHROOM, MAKE WINDOW SMALLER, BASEMENT - BRING EXISTING EGRESS WINDOW TO CODE, ADD SINK TO UPSTAIRS BATHROOM. ***ANY ET PT MT SEPARATE"
Business,2023-11-08,2026-04-29,Addition/Alteration,Office,530.0,2.0,0.0,277525.0,"SINGLE PDF - TI FOR NEW TENANT, INTERIOR REMODEL WITH EXPANDED 2ND FLOOR, NEW OFFICES, CONFERENCE ROOMS, AND BREAK ROOM. NEW ACCESSIBLE PARKING SPACE. NO CHANGE OF OCCUPANCY."
Accessory Structures,2025-06-25,2026-04-29,New Construction,Residential,468.0,1.0,,65000.0,"SINGLE PDF NEW 1 STORY DETACHED GARAGE TO REPLACE OLD ONE. FOUNDATION, FRAMING, ROOFING. *ET SEPERATE* DEMO PERMIT PENDING FOR OLD GARAGE. "
Single Family Detached,2025-12-30,2026-04-29,Addition/Alteration,Residential,254.0,1.0,0.0,26902.0,"SINGLE PDF - ENCLOSE EXISTING PORCH TO CREATE ADDITIONAL LIVING SPACE, BUILD DECK AT REAR ELEVATION. "
"Rowhouse, Townhouse, Duplex",2025-06-11,2026-04-28,New Construction,Residential,1045.0,2.0,1.0,170037.0,FULL PDOX - MHLD - NEW 1 OF 4 UNIT TOWNHOME ON SHARED LOT/ 2 STORY / NO GARAGES / COMPLEX / FLAT LOT. 
"Rowhouse, Townhouse, Duplex",2025-06-11,2026-04-28,New Construction,Residential,1031.0,2.0,1.0,169574.0,FULL PDOX - MHLD - NEW 3 OF 4 UNIT TOWNHOME ON SHARED LOT/ 2 STORY / NO GARAGES / COMPLEX / FLAT LOT. DEMO 25-TBDXXX RS
"Rowhouse, Townhouse, Duplex",2025-06-11,2026-04-28,New Construction,Residential,1031.0,2.0,1.0,169574.0,FULL PDOX - MHLD - NEW 2 OF 4 UNIT TOWNHOME ON SHARED LOT/ 2 STORY / NO GARAGES / COMPLEX / FLAT LOT. DEMO 25-TBDXXX RS
"Rowhouse, Townhouse, Duplex",2025-06-11,2026-04-28,New Construction,Residential,1031.0,2.0,1.0,169574.0,FULL PDOX - MHLD - NEW 4 OF 4 UNIT TOWNHOME ON SHARED LOT/ 2 STORY / NO GARAGES / COMPLEX / FLAT LOT. DEMO 25-TBDXXX RS
Accessory Structures,2025-12-15,2026-04-28,Addition/Alteration,Residential,370.0,,,30000.0,SINGLE PDF - CREATION OF HABITABLE SPACE IN DETACHED ACCESSORY STRUCTURE. ADDING BATHROOM AND SINK. ***NOT AN ADU*** ET PT MT SEPARATE
Single Family Detached,2026-01-29,2026-04-28,Addition/Alteration,Residential,312.0,2.0,0.0,13956.0,"SINGLE PDF-NEW 2ND STORY DECK WITH COVER AND EXTERIOR STAIRS. NEW GARAGE WINDOW, FINISH BASEMENT WITH NEW BEDROOM, ADD SLIDER DOOR.  *ET PT MT SEPARATE* REFER TO 23-006204-HS*

"
Single Family Detached,2025-12-12,2026-04-28,Addition/Alteration,Residential,112.0,,0.0,0.0,SINGLE PDF - 2ND STORY DECK EXTENSION
Single Family Detached,2026-04-16,2026-04-28,Addition/Alteration,Residential,110.0,,0.0,0.0,"SINGLE PDF - CONVERT SECOND FLOOR CLOSET OFF OF PRIMARY BEDROOM INTO AN EN SUITE BATHROOM (4 TOTAL) **ET, MT, AND PT PERMITS SEPARATE"
